Date,VZ,MCD,Close,CLX,COST,PSX,BLK,TROW,JNJ,UNH,MMM,UPS,ACN,PPG,AMT,NEE
2/22/2018 16:00:00,47.87,146.65,55.4,127.3,186.59,90.13,539.53,110.42,129.91,227.09,236,105.08,160.32,115.86,138.98,152.31
2/23/2018 16:00:00,48.29,144.58,56.14,129.43,189.81,91.83,549.75,112.3,132.02,230.16,237.02,105.61,162.95,117.46,141.87,156.26
2/26/2018 16:00:00,49.09,146.97,57.17,131.52,192.81,92.52,563.97,114.15,132.07,234.06,244.14,108.07,164.74,117.53,142.74,154.65
2/27/2018 16:00:00,48.04,146.69,56.57,130.19,190.1,92.12,552.77,112.39,131.67,232.52,240.78,105.69,162.55,115.31,140.7,151.68
2/28/2018 16:00:00,47.74,147.73,57.1,129.08,190.9,90.37,549.43,111.9,129.88,226.16,235.51,104.41,161.01,112.44,139.33,152.15
3/1/2018 16:00:00,47.96,148.08,56.17,129.77,189.03,90.87,535.58,110.08,127.28,224.45,231.34,106.43,156.15,111.11,135.37,153.23
3/2/2018 16:00:00,48.26,149.6,56.93,130.94,189.33,91.37,537.58,110.33,128.82,225.19,230.37,105.37,157.5,110.25,134,152.85
3/5/2018 16:00:00,48.71,149.85,56.99,132.93,191.48,93.06,545.26,111.85,129.79,228.38,232.81,105.81,158.85,112.76,136.81,155.02
3/6/2018 16:00:00,48.89,150.5,57.03,132.33,191.46,93.93,548.66,113.36,128.22,226.18,233.66,109.8,158.03,115.07,138.88,153.26
3/7/2018 16:00:00,48.84,150.79,57.03,130.55,187.36,94.22,547.43,113.09,129.04,227.27,235.57,109.21,158.55,115.02,140,153.05
3/8/2018 16:00:00,49.01,152.75,57.47,132.98,185.69,95.19,553.39,114.17,132.06,224.73,236.34,108.8,158.5,115.4,142.74,154.31
3/9/2018 16:00:00,49.01,153.35,58.46,131.57,188.58,95.91,577.18,117.6,133.8,225.43,241.35,110.38,161.51,117.65,143.58,154.81
3/12/2018 16:00:00,48.8,153.35,59.4,130.37,189.37,94.99,571.79,117.09,132.63,222.77,239.8,108.91,161.69,116.46,145.08,154.39
3/13/2018 16:00:00,48.65,155.26,59.05,131.19,187.46,94.55,564.06,116.97,134.35,226.94,237.57,109.33,162.49,116.07,146.25,154.67
